system,id,备注,url,风险等级,备注,
mis,129,司机详情页解绑车辆,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/unBindCar,-1,,
mis,130,所属公司信息修改-车辆,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverCompany/updateCarCompany,-1,,
mis,131,所属公司信息修改-出租车,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverCompany/updateDriverCompanyTaxi,-1,,
mis,132,所属公司信息修改-快车,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverCompany/updateDriverCompanyKuaiChe,-1,,
mis,133,所属公司信息修改-专车,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverCompany/updateDriverCompanyZhuanChe,-1,,
mis,134,司乘管理-司机管理-新司机列表,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/listView,3,,
mis,135,订单中心 - 订单档案页-坐标下载,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/mOrderLoc/getOrderLoc,-1,,
mis,136,出租车公司列表-新增,mis.xiaojukeji.com/gulfstream/mis/casterlyrock/company/mTaxiCompany/saveData,-1,,
mis,137,查看订单路径,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/mList/getDriverRoute,-1,,
mis,138,司机信息强制修改,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverForceModify/modifyDriverInfo,-1,,
mis,139,车辆信息强制修改,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverForceModify/modifyCarInfo,-1,,
mis,140,导出活动司机列表,mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivity/exportActivityDriverList,-1,,
mis,141,司乘管理-乘客管理-乘客列表,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPassenger/index,-1,,
mis,142,标签管理-导出标签用户列表权限,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mMisExport/createExport,-1,,
mis,143,标签管理-批量移除权限,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mTagManage/removeUserTag,-1,,
mis,144,标签管理-添加标签用户权限,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mTagManage/addTagUser,-1,,
mis,145,标签管理-新增/修改标签权限,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mTagManage/saveData,-1,,
mis,146,关闭完成订单新,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/mList/orderCloes,-1,,
mis,147,订单改派,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/mList/dispatch,-1,,
mis,148,订单中心,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/mOrderManage/showView,-1,,
mis,149,司机运营-司机运营活动（新）-新增活动-单单奖分城市、产品线配置上限金额,mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivity/getConfigureMaxMoney,0,7.2 金额上限，易被误点,
mis,150,,mis.xiaojukeji.com/gulfstream/mis/winterfell/passenger/newPassenger/getCheatInfoList,-1,7.2,
mis,151,,mis.xiaojukeji.com/gulfstream/mis/v1/mis/mLongRentCar/getTurnoverRateNewList,-1,7.2,
mis,152,,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/team/mis/report/reward/getRewardListOnActivity,-1,7.2,
mis,153,,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/team/mis/combine/member/getRegistrationProgressList,-1,7.2,
mis,154,,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/team/mis/combine/activity/getList,-1,7.2,
mis,155,,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_mis/mis/mActivityReward/getDriverReward,-1,7.2,
mis,156,,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kDriver/getDriverPunishLogList,-1,7.2,
mis,157,,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mDriverPromotion/getList,-1,7.2,
mis,158,司机运营-司机运营活动（新）-新增活动-单单奖分城市、产品线配置上限金额,pre-pope.xiaojukeji.com/api/misp/gulfstream/mis/riverrun/misIntl/mActivity/getConfigureMaxMoney,0,,
mis_beatles,159,发送短信,upload.mis.didialift.com/admin/sms/sendsms,0,白名单,
mis_beatles,160,人脸识别时间信息,mis.didialift.com/admin/user/userfacecheckdetail,0,低风险,
